Nombre_Jugador,Posición,Equipo,Edad,Minutos_Jugados,Puntos_Totales,Tiros_Campo_Encestados,Tiros_Campo_Intentados,Triples_Encestados,Triples_Intentados,Porcentaje_Triples,Tiros_Libres_Encestados,Tiros_Libres_Intentados,Rebotes_Ofensivos,Rebotes_Defensivos,Rebotes_Totales,Asistencias,Pérdidas,Robos,Bloqueos,Faltas_Personales,Doble_Dobles,Triple_Dobles,Año
Boris Diaw,PF,PHO,25,28.1,8.8,3.8,7.9,0.2,0.5,,1.2,1.6,1.2,3.4,4.6,3.9,1.9,0.7,0.5,2.0,1,1,2008
Boris Diaw,PF,TOT,26,96.1,36.6,15.3,29.9,2.3,5.6,,3.4,5.1,4.2,10.9,15.0,11.1,7.4,2.1,1.7999999999999998,7.1,3,3,2009
Boris Diaw,PF,CHA,27,35.4,11.3,4.5,9.4,0.8,2.5,,1.4,1.8,1.6,3.6,5.2,4.0,2.2,0.7,0.7,2.7,1,1,2010
Boris Diaw,PF,CHA,28,33.9,11.3,4.6,9.4,1.0,2.8,,1.0,1.5,1.3,3.8,5.0,4.1,2.0,0.9,0.6,2.3,1,1,2011
Boris Diaw,PF,TOT,29,72.8,18.5,7.800000000000001,17.2,1.5,4.7,,1.2,1.7,3.7,10.8,14.5,10.3,5.699999999999999,1.7999999999999998,1.2,6.800000000000001,3,3,2012
Boris Diaw,PF,SAS,30,22.8,5.8,2.4,4.4,0.4,1.0,,0.6,0.9,0.9,2.5,3.4,2.4,1.1,0.7,0.4,1.9,1,1,2013
Boris Diaw,PF,SAS,31,25.0,9.1,3.8,7.3,0.6,1.4,,0.9,1.2,0.9,3.2,4.1,2.8,1.5,0.6,0.4,1.8,1,1,2014
Boris Diaw,PF,SAS,32,24.5,8.7,3.6,7.8,0.7,2.1,,0.9,1.1,1.0,3.3,4.3,2.9,1.6,0.4,0.3,1.8,1,1,2015
Boris Diaw,PF,SAS,33,18.2,6.4,2.7,5.0,0.3,0.9,,0.7,1.0,0.8,2.3,3.1,2.3,1.3,0.3,0.3,1.3,1,1,2016
Boris Diaw,PF,UTA,34,17.6,4.6,2.0,4.5,0.3,1.1,,0.4,0.5,0.6,1.5,2.2,2.3,1.2,0.2,0.1,1.1,1,1,2017
Botjan Nachbar,SF,HOU,22,5.5,2.1,0.8,2.2,0.1,0.7,,0.4,0.7,0.2,0.6,0.8,0.2,0.4,0.1,0.1,0.9,1,0,2003
Botjan Nachbar,SF,HOU,23,11.5,3.1,1.0,2.9,0.5,1.4,,0.5,0.6,0.2,1.4,1.6,0.7,0.5,0.3,0.3,1.6,1,1,2004
Botjan Nachbar,PF-SF,TOT,24,52.4,18.2,5.9,15.2,2.9,7.3,,3.6,4.3,1.0,6.2,7.3,2.8,2.5,1.0,0.5,7.3,3,2,2005
Botjan Nachbar,PF-SF,TOT,25,38.9,12.2,4.3,12.2,1.4,5.6,,2.3,3.3,0.8,3.8,4.7,2.2,1.9,1.2,0.3,5.1,3,2,2006
Botjan Nachbar,SF,NJN,26,20.2,9.2,3.0,6.5,1.5,3.5,,1.7,2.2,0.4,3.0,3.3,0.8,0.9,0.4,0.3,2.4,1,1,2007
Botjan Nachbar,PF,NJN,27,22.1,9.8,3.3,8.1,1.3,3.5,,2.1,2.6,0.7,2.7,3.5,1.2,1.1,0.6,0.3,2.4,1,1,2008
Bracey Wright,SG,MIN,21,19.3,8.9,3.0,7.3,0.9,2.4,,2.0,2.3,0.4,2.1,2.6,0.7,1.1,0.1,0.0,1.1,1,0,2006
Bracey Wright,SG,MIN,22,10.0,3.5,1.3,3.2,0.3,1.1,,0.7,0.9,0.4,0.7,1.1,0.8,0.3,0.5,0.1,0.3,1,1,2007
Brad Daugherty,C,CLE,25,38.8,21.6,8.0,15.2,0.0,0.0,,5.7,7.6,2.3,8.6,10.9,3.3,2.8,1.0,0.6,2.5,1,1,1991
Brad Daugherty,C,CLE,26,36.2,21.5,7.9,13.8,0.0,0.0,,5.7,7.3,2.6,7.8,10.4,3.6,2.5,0.9,1.1,2.6,1,1,1992
Brad Daugherty,C,CLE,27,37.9,20.2,7.3,12.8,0.0,0.0,,5.5,6.9,2.3,7.9,10.2,4.4,2.1,0.7,0.8,2.5,1,1,1993
Brad Daugherty,C,CLE,28,36.8,17.0,5.9,12.1,0.0,0.0,,5.1,6.5,2.6,7.6,10.2,3.0,2.2,0.8,0.7,2.9,1,1,1994
Brad Davis,PG,DAL,35,17.8,5.4,2.0,4.7,0.3,1.1,,1.1,1.5,0.2,1.3,1.5,2.9,1.0,0.6,0.2,2.7,1,1,1991
Brad Davis,PG,DAL,36,13.0,2.8,1.2,2.6,0.2,0.5,,0.3,0.5,0.1,0.9,1.0,2.0,0.8,0.3,0.1,1.7,1,1,1992
Brad Lohaus,PF,MIL,26,15.0,5.3,2.2,5.1,0.4,1.5,,0.5,0.7,0.7,2.0,2.7,0.9,0.7,0.6,0.9,2.1,1,1,1991
Brad Lohaus,PF,MIL,27,15.4,5.8,2.3,5.1,0.8,2.1,,0.4,0.6,0.9,2.6,3.6,1.1,0.7,0.6,1.0,2.1,1,1,1992
Brad Lohaus,PF,MIL,28,22.1,9.1,3.5,7.7,1.1,2.9,,0.9,1.3,0.7,2.7,3.5,1.6,1.2,0.6,0.9,2.2,1,1,1993
Brad Lohaus,PF,MIL,29,14.4,4.0,1.5,4.2,0.7,2.0,,0.3,0.4,0.5,1.7,2.2,0.9,0.9,0.4,0.8,2.1,1,1,1994
Brad Lohaus,PF,MIA,30,12.0,4.4,1.6,3.8,1.0,2.5,,0.2,0.2,0.5,1.2,1.7,0.7,0.5,0.3,0.4,1.4,1,1,1995
Brad Lohaus,PF,TOT,31,33.5,10.8,3.9,9.6,2.7,6.7,,0.3,0.3,0.4,3.2,3.5,2.5,1.2,0.6,0.9,4.0,3,3,1996
Brad Lohaus,PF,TOR,32,7.5,1.7,0.7,2.5,0.3,1.2,,0.0,0.0,0.2,1.0,1.2,0.2,0.2,0.2,0.0,1.0,0,0,1997
Brad Lohaus,PF,SAS,33,11.3,2.1,0.8,2.3,0.4,1.6,,0.1,0.3,0.3,1.0,1.3,0.6,0.3,0.1,0.2,1.1,1,0,1998
Brad Miller,C,CHH,22,12.3,6.3,2.1,3.6,0.0,0.1,,2.1,2.7,0.9,2.2,3.1,0.6,0.8,0.2,0.5,1.7,1,1,1999
Brad Miller,C,CHH,23,17.5,7.7,2.5,5.3,0.0,0.0,,2.8,3.5,2.1,3.3,5.3,0.8,0.9,0.4,0.6,2.0,1,1,2000
Brad Miller,C,CHI,24,25.2,8.9,2.9,6.8,0.0,0.1,,2.9,4.0,2.5,4.8,7.4,1.9,1.3,0.6,0.7,3.1,1,1,2001
Brad Miller,C,TOT,25,89.9,41.4,14.7,29.0,0.0,0.3,,11.7,14.9,9.7,14.7,24.5,5.9,4.5,3.0,1.5,9.6,3,3,2002
Brad Miller,C,IND,26,31.1,13.1,4.5,9.1,0.1,0.2,,4.0,4.9,2.5,5.7,8.3,2.6,1.6,0.9,0.6,2.8,1,1,2003
Brad Miller,PF,SAC,27,36.4,14.1,5.2,10.2,0.2,0.5,,3.6,4.6,2.7,7.7,10.3,4.3,2.0,0.9,1.2,3.4,1,1,2004
Brad Miller,C,SAC,28,37.3,15.6,5.7,10.9,0.1,0.3,,4.2,5.1,2.5,6.8,9.3,3.9,1.5,1.2,1.2,3.2,1,1,2005
Brad Miller,C,SAC,29,37.0,15.0,5.5,11.1,0.4,1.1,,3.5,4.3,1.5,6.2,7.8,4.7,2.3,0.8,0.8,3.0,1,1,2006
Brad Miller,C,SAC,30,28.3,9.0,3.6,7.8,0.1,0.5,,1.8,2.4,1.3,5.1,6.4,3.6,1.7,0.6,0.6,2.5,1,1,2007
Brad Miller,C,SAC,31,34.9,13.4,4.7,10.1,0.4,1.3,,3.6,4.3,2.3,7.1,9.5,3.7,2.3,1.0,1.0,3.4,1,1,2008
Brad Miller,C,TOT,32,89.1,35.6,12.5,26.200000000000003,0.9,2.3,,9.8,11.8,6.5,16.7,23.200000000000003,9.9,5.5,2.2,1.5,9.6,3,3,2009
Brad Miller,C,CHI,33,23.8,8.8,3.0,7.1,0.5,1.6,,2.2,2.7,1.0,3.9,4.9,1.9,1.3,0.5,0.4,2.3,1,1,2010
Brad Miller,C,HOU,34,16.9,6.4,2.2,4.9,0.7,1.8,,1.3,1.6,0.7,3.0,3.7,2.4,0.9,0.5,0.4,1.6,1,1,2011
Brad Miller,C,MIN,35,9.7,2.3,0.6,1.8,0.5,1.0,,0.7,0.8,0.3,1.0,1.3,1.6,0.8,0.3,0.1,0.7,1,1,2012
Brad Sellers,PF,DET,29,5.3,2.4,1.0,2.0,0.0,0.0,,0.5,0.6,0.3,0.6,1.0,0.3,0.3,0.0,0.2,0.5,1,1,1992
Brad Sellers,PF,MIN,30,9.9,2.5,0.9,2.4,0.0,0.0,,0.7,0.7,0.5,1.0,1.5,0.9,0.5,0.1,0.2,0.7,1,1,1993
Brad Wanamaker,PG,BOS,29,9.5,3.9,1.4,2.9,0.4,1.1,,0.7,0.8,0.1,1.1,1.1,1.6,0.5,0.3,0.1,0.9,1,1,2019
Brad Wanamaker,PG,BOS,30,19.3,6.9,2.3,5.1,0.5,1.4,,1.8,1.9,0.3,1.7,2.0,2.5,1.1,0.9,0.2,1.9,1,1,2020
Brad Wanamaker,PG,TOT,31,52.8,17.1,6.0,15.0,0.7,4.1,,4.6,5.1,1.0,4.2,5.2,8.8,3.6,2.2,0.6000000000000001,4.7,3,3,2021
Bradley Beal,SG,WAS,19,31.2,13.9,5.0,12.3,1.6,4.2,,2.2,2.8,0.8,3.0,3.8,2.4,1.6,0.9,0.5,2.0,1,1,2013
Bradley Beal,SG,WAS,20,34.7,17.1,6.6,15.7,1.9,4.7,,2.0,2.6,0.7,3.0,3.7,3.3,1.8,1.0,0.2,2.1,1,1,2014
Bradley Beal,SG,WAS,21,33.4,15.3,5.8,13.5,1.7,4.1,,2.1,2.6,0.9,2.9,3.8,3.1,2.0,1.2,0.3,2.2,1,1,2015
Bradley Beal,SG,WAS,22,31.1,17.4,6.5,14.5,1.9,4.9,,2.5,3.2,0.7,2.7,3.4,2.9,2.0,1.0,0.2,2.1,1,1,2016
Bradley Beal,SG,WAS,23,34.9,23.1,8.3,17.2,2.9,7.2,,3.7,4.4,0.7,2.4,3.1,3.5,2.0,1.1,0.3,2.2,1,1,2017
Bradley Beal,SG,WAS,24,36.3,22.6,8.3,18.1,2.4,6.5,,3.6,4.5,0.7,3.7,4.4,4.5,2.6,1.2,0.4,2.0,1,1,2018
Bradley Beal,SG,WAS,25,36.9,25.6,9.3,19.6,2.5,7.3,,4.4,5.5,1.1,3.9,5.0,5.5,2.7,1.5,0.7,2.8,1,1,2019
Bradley Beal,SG,WAS,26,36.0,30.5,10.4,22.9,3.0,8.4,,6.8,8.0,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,1,1,2020
Bradley Beal,SG,WAS,27,35.8,31.3,11.2,23.0,2.2,6.2,,6.8,7.7,1.2,3.5,4.7,4.4,3.1,1.2,0.4,2.3,1,1,2021
Brandan Wright,PF,GSW,20,9.9,4.0,1.6,2.9,0.0,0.0,,0.7,1.1,1.0,1.6,2.6,0.2,0.3,0.2,0.6,0.9,1,1,2008
Brandan Wright,PF,GSW,21,17.6,8.3,3.3,6.3,0.0,0.1,,1.6,2.2,1.6,2.4,4.0,0.5,0.6,0.6,0.9,1.9,1,1,2009
Brandan Wright,PF,TOT,23,31.0,11.4,4.8,9.6,0.0,0.0,,1.8,2.6,2.6,4.8,7.4,0.9,1.2,0.9,1.4,2.7,3,2,2011
Brandan Wright,C,DAL,24,16.1,6.9,2.9,4.8,0.0,0.0,,1.1,1.7,1.3,2.3,3.6,0.3,0.4,0.4,1.3,1.2,1,1,2012
Brandan Wright,C,DAL,25,18.0,8.5,3.8,6.3,0.0,0.0,,0.9,1.5,1.3,2.7,4.1,0.6,0.5,0.4,1.2,1.2,1,1,2013
Brandan Wright,C,DAL,26,18.6,9.1,3.9,5.7,0.0,0.0,,1.3,1.8,1.8,2.4,4.2,0.5,0.6,0.6,0.9,1.6,1,1,2014
Brandan Wright,PF,TOT,27,70.3,26.4,11.3,17.6,0.0,0.1,,3.6,5.3,6.3,9.2,15.4,2.5,2.0,2.2,4.7,4.9,4,3,2015
Brandan Wright,PF,MEM,28,17.7,6.9,2.9,4.3,0.0,0.0,,1.1,2.0,1.2,2.4,3.6,0.5,0.8,0.4,1.3,1.8,1,1,2016
Brandan Wright,PF,MEM,29,16.0,6.8,3.0,4.8,0.0,0.0,,0.8,1.3,1.1,1.7,2.8,0.5,0.4,0.4,0.7,1.5,1,1,2017
Brandan Wright,PF,TOT,30,42.2,14.0,6.2,10.3,0.0,0.0,,1.6,2.4,3.4,5.5,8.8,1.0,0.6,1.0,2.8,5.2,2,2,2018
Branden Dawson,PF,LAC,22,4.8,0.8,0.3,0.8,0.0,0.0,,0.2,0.2,0.3,0.3,0.7,0.0,0.0,0.0,0.2,0.3,0,0,2016
Brandin Knight,PG,HOU,23,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2005
Brandon Armstrong,SG,NJN,21,5.6,1.8,0.8,2.4,0.1,0.5,,0.1,0.3,0.3,0.2,0.5,0.2,0.2,0.2,0.0,0.7,1,0,2002
Brandon Armstrong,SG,NJN,22,4.1,1.4,0.5,1.6,0.1,0.4,,0.3,0.4,0.0,0.2,0.2,0.1,0.3,0.2,0.1,0.5,0,0,2003
Brandon Armstrong,SG,NJN,23,7.8,2.7,1.2,3.1,0.3,0.9,,0.0,0.1,0.2,0.6,0.8,0.3,0.4,0.2,0.0,0.9,1,1,2004
Brandon Bass,PF,NOK,20,9.2,2.3,1.0,2.4,0.0,0.0,,0.4,0.7,0.6,1.7,2.3,0.1,0.4,0.1,0.2,0.6,1,0,2006
Brandon Bass,PF,NOK,21,7.7,2.0,0.7,2.1,0.0,0.0,,0.6,0.8,0.6,1.4,2.0,0.1,0.5,0.1,0.1,0.8,1,0,2007
Brandon Bass,C,DAL,22,19.7,8.3,3.1,6.2,0.0,0.1,,2.1,2.5,1.5,2.9,4.4,0.7,1.0,0.3,0.6,1.9,1,1,2008
Brandon Bass,C,DAL,23,19.4,8.5,3.1,6.3,0.0,0.1,,2.2,2.6,1.6,2.9,4.5,0.5,1.1,0.3,0.7,1.7,1,1,2009
Brandon Bass,PF,ORL,24,13.0,5.8,2.4,4.7,0.0,0.0,,1.0,1.3,1.1,1.5,2.5,0.4,0.6,0.2,0.5,1.4,1,1,2010
Brandon Bass,PF,ORL,25,26.1,11.2,4.4,8.5,0.0,0.0,,2.5,3.1,1.8,3.8,5.6,0.8,1.3,0.4,0.7,2.1,1,1,2011
Brandon Bass,PF,BOS,26,31.7,12.5,5.1,10.7,0.0,0.0,,2.2,2.8,1.6,4.6,6.2,0.9,1.1,0.6,0.9,2.3,1,1,2012
Brandon Bass,PF,BOS,27,27.6,8.7,3.5,7.3,0.0,0.0,,1.6,1.9,1.6,3.7,5.2,1.0,1.0,0.5,0.8,2.3,1,1,2013
Brandon Bass,PF,BOS,28,27.6,11.1,4.3,8.8,0.0,0.1,,2.5,2.9,2.0,3.8,5.7,1.1,1.2,0.4,0.9,2.3,1,1,2014
Brandon Bass,PF,BOS,29,23.5,10.6,4.2,8.3,0.1,0.4,,2.1,2.6,1.7,3.2,4.9,1.3,1.0,0.5,0.4,1.7,1,1,2015
Brandon Bass,PF,LAL,30,20.3,7.2,2.6,4.8,0.0,0.0,,1.9,2.2,1.6,2.7,4.3,1.1,0.6,0.5,0.8,1.9,1,1,2016
Brandon Bass,PF,LAC,31,11.1,5.6,2.1,3.6,0.0,0.1,,1.5,1.7,0.8,1.7,2.5,0.4,0.6,0.3,0.2,0.9,1,1,2017
Brandon Clarke,PF,MEM,23,22.4,12.1,5.1,8.3,0.4,1.1,,1.5,1.9,1.6,4.4,5.9,1.4,0.9,0.6,0.8,1.7,1,1,2020
Brandon Clarke,PF,MEM,24,24.0,10.3,4.3,8.4,0.3,1.3,,1.3,1.9,1.6,3.9,5.6,1.6,0.6,1.0,0.9,1.4,1,1,2021
Brandon Davies,PF,PHI,22,11.3,2.8,1.1,2.5,0.0,0.2,,0.7,1.0,0.7,1.4,2.1,0.5,0.7,0.5,0.2,1.8,1,1,2014
Brandon Davies,PF,TOT,23,41.0,13.9,5.4,13.7,0.8,3.4,,2.4,3.7,3.6,4.6,8.2,2.8,3.0,1.7,0.9,5.6000000000000005,2,2,2015
Brandon Goodwin,PG,DEN,23,3.6,1.4,0.4,1.4,0.1,0.4,,0.6,0.7,0.1,0.1,0.2,0.9,0.2,0.0,0.0,0.4,1,0,2019
Brandon Goodwin,PG,ATL,24,12.6,6.1,2.2,5.6,0.8,2.6,,0.8,0.9,0.3,1.8,2.1,1.5,0.9,0.4,0.1,1.3,1,1,2020
Brandon Goodwin,PG,ATL,25,13.2,4.9,1.8,4.7,0.7,2.2,,0.6,0.9,0.2,1.3,1.5,2.0,0.8,0.4,0.0,0.9,1,1,2021
Brandon Hunter,PF,BOS,23,11.3,3.5,1.5,3.2,0.0,0.1,,0.5,1.2,1.4,1.9,3.3,0.5,0.6,0.4,0.0,1.1,1,1,2004
Brandon Hunter,PF,ORL,24,7.2,3.1,1.2,2.4,0.0,0.0,,0.7,1.3,0.8,1.4,2.2,0.1,0.7,0.1,0.2,1.4,1,0,2005
Brandon Ingram,SF,LAL,19,28.8,9.4,3.5,8.7,0.7,2.4,,1.7,2.7,0.8,3.2,4.0,2.1,1.5,0.6,0.5,2.0,1,1,2017
Brandon Ingram,SF,LAL,20,33.5,16.1,6.1,12.9,0.7,1.8,,3.3,4.8,1.0,4.4,5.3,3.9,2.5,0.8,0.7,2.8,1,1,2018
Brandon Ingram,SF,LAL,21,33.8,18.3,7.0,14.0,0.6,1.8,,3.8,5.6,0.8,4.3,5.1,3.0,2.5,0.5,0.6,2.9,1,1,2019
Brandon Ingram,PF,NOP,22,33.9,23.8,8.2,17.7,2.4,6.2,,5.0,5.9,0.8,5.3,6.1,4.2,3.0,1.0,0.6,2.9,1,1,2020
Brandon Ingram,SF,NOP,23,34.3,23.8,8.4,18.0,2.3,6.1,,4.6,5.2,0.6,4.3,4.9,4.9,2.5,0.7,0.6,2.0,1,1,2021
Brandon Jennings,PG,MIL,20,32.6,15.5,5.5,14.8,1.8,4.7,,2.7,3.3,0.6,2.8,3.4,5.7,2.4,1.3,0.2,2.3,1,1,2010
Brandon Jennings,PG,MIL,21,34.4,16.2,5.7,14.7,1.6,4.8,,3.2,3.9,0.7,3.0,3.7,4.8,2.3,1.5,0.3,2.1,1,1,2011
Brandon Jennings,PG,MIL,22,35.3,19.1,7.1,17.0,2.0,5.9,,2.9,3.6,0.7,2.7,3.4,5.5,2.2,1.6,0.3,1.7,1,1,2012
Brandon Jennings,PG,MIL,23,36.2,17.5,6.2,15.6,2.2,5.8,,2.9,3.5,0.7,2.3,3.1,6.5,2.5,1.6,0.1,1.9,1,1,2013
Brandon Jennings,PG,DET,24,34.1,15.5,5.3,14.2,1.9,5.7,,3.0,4.0,0.7,2.3,3.1,7.6,2.7,1.3,0.1,2.0,1,1,2014
Brandon Jennings,PG,DET,25,28.6,15.4,5.3,13.2,1.9,5.1,,2.9,3.5,0.5,2.0,2.5,6.6,2.2,1.1,0.1,1.6,1,1,2015
Brandon Jennings,PG,TOT,26,54.3,20.7,7.0,18.9,3.2,9.6,,3.6,4.9,0.9,5.1,6.0,10.5,3.6,1.7999999999999998,0.4,3.5,3,3,2016
Brandon Jennings,PG,TOT,27,63.1,19.2,6.5,18.6,2.7,8.8,,3.7,4.9,1.1,6.0,6.9,14.5,4.4,2.5,0.1,4.199999999999999,3,3,2017
Brandon Jennings,PG,MIL,28,14.6,5.2,1.9,5.1,0.6,2.4,,0.7,0.7,0.4,1.9,2.2,3.1,1.3,0.4,0.3,0.8,1,1,2018
Brandon Knight,PG,DET,20,32.3,12.8,4.8,11.7,1.6,4.2,,1.6,2.1,0.5,2.7,3.2,3.8,2.6,0.7,0.2,2.3,1,1,2012
Brandon Knight,PG,DET,21,31.5,13.3,4.8,11.7,1.6,4.4,,2.2,3.0,0.7,2.6,3.3,4.0,2.7,0.8,0.1,2.1,1,1,2013
Brandon Knight,PG,MIL,22,33.3,17.9,6.4,15.2,1.5,4.7,,3.6,4.5,0.6,2.9,3.5,4.9,2.6,1.0,0.2,2.0,1,1,2014
Brandon Knight,PG-SG,TOT,23,96.3,48.2,16.8,41.4,5.9,16.1,,8.6,9.8,1.1,9.1,10.3,15.1,8.3,3.5,0.5,5.5,3,3,2015
Brandon Knight,SG,PHO,24,36.0,19.6,7.1,17.2,2.3,6.8,,3.0,3.5,0.7,3.2,3.9,5.1,3.4,1.2,0.4,2.4,1,1,2016
Brandon Knight,SG,PHO,25,21.1,11.0,3.9,9.7,0.8,2.6,,2.4,2.9,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,1,1,2017
Brandon Knight,PG,TOT,27,51.6,18.3,6.699999999999999,18.5,2.8000000000000003,9.6,,2.2,2.7,0.7,3.5,4.2,4.9,2.1,1.4,0.2,4.6,2,2,2019
Brandon Knight,SG-PG,TOT,28,58.2,23.8,7.6,21.1,5.9,16.6,,2.9000000000000004,4.5,0.5,4.800000000000001,5.2,8.9,4.9,1.3,0.3,5.1000000000000005,3,3,2020
Brandon Paul,SG,SAS,26,9.0,2.3,0.9,2.0,0.2,0.8,,0.3,0.7,0.1,1.0,1.1,0.6,0.5,0.4,0.1,0.9,1,1,2018
Brandon Roy,SG,POR,22,35.4,16.8,6.1,13.4,1.0,2.6,,3.5,4.2,1.0,3.4,4.4,4.0,2.0,1.2,0.2,2.4,1,1,2007
Brandon Roy,SG,POR,23,37.7,19.1,7.2,15.8,1.0,2.9,,3.8,5.0,1.1,3.6,4.7,5.8,1.8,1.1,0.2,2.0,1,1,2008
Brandon Roy,SG,POR,24,37.2,22.6,8.1,16.9,1.1,2.8,,5.3,6.5,1.3,3.4,4.7,5.1,1.9,1.1,0.3,1.6,1,1,2009
Brandon Roy,SG,POR,25,37.2,21.5,7.6,16.0,1.1,3.4,,5.3,6.8,1.1,3.3,4.4,4.7,2.0,0.9,0.2,2.1,1,1,2010
Brandon Roy,SG,POR,26,27.9,12.2,4.4,11.1,0.8,2.4,,2.5,2.9,0.6,2.0,2.6,2.7,1.2,0.8,0.3,1.6,1,1,2011
Brandon Roy,SG,MIN,28,24.4,5.8,2.2,7.0,0.0,1.8,,1.4,2.0,0.6,2.2,2.8,4.6,1.4,0.6,0.0,1.0,1,1,2013
Brandon Rush,SG,IND,23,24.0,8.1,3.2,7.7,1.0,2.8,,0.6,0.9,0.5,2.7,3.1,0.9,1.0,0.5,0.5,1.7,1,1,2009
Brandon Rush,SG,IND,24,30.4,9.4,3.6,8.6,1.5,3.7,,0.7,1.1,0.5,3.7,4.2,1.4,1.1,0.7,0.8,1.9,1,1,2010
Brandon Rush,SG,IND,25,26.2,9.1,3.2,7.7,1.4,3.3,,1.2,1.6,0.5,2.7,3.2,0.9,1.0,0.6,0.5,1.6,1,1,2011
Brandon Rush,SF,GSW,26,26.4,9.8,3.6,7.2,1.5,3.4,,1.0,1.3,0.5,3.4,3.9,1.4,1.0,0.5,0.9,1.0,1,1,2012
Brandon Rush,SF,GSW,27,12.5,7.0,3.0,4.5,0.0,1.0,,1.0,1.5,0.0,0.5,0.5,1.0,1.5,0.0,0.0,2.5,0,0,2013
Brandon Rush,SG,UTA,28,11.0,2.1,0.8,2.4,0.4,1.2,,0.1,0.1,0.1,1.0,1.2,0.6,0.5,0.1,0.2,0.8,1,1,2014
Brandon Rush,SG,GSW,29,8.2,0.9,0.3,1.6,0.1,0.8,,0.2,0.3,0.1,1.1,1.2,0.4,0.3,0.2,0.4,0.8,1,1,2015
Brandon Rush,SG,GSW,30,14.7,4.2,1.5,3.6,0.9,2.2,,0.3,0.4,0.3,2.2,2.5,0.8,0.5,0.3,0.3,0.8,1,1,2016
Brandon Rush,SG,MIN,31,21.9,4.2,1.5,4.0,0.9,2.4,,0.3,0.4,0.3,1.8,2.1,1.0,0.6,0.5,0.5,0.9,1,1,2017
Brandon Sampson,SG,CHI,21,15.3,5.1,2.0,4.3,0.8,2.1,,0.3,0.4,0.2,0.9,1.1,0.7,0.9,0.6,0.2,1.4,1,0,2019
Brandon Williams,SG,GSW,22,15.6,4.1,1.8,5.6,0.3,1.0,,0.2,0.4,0.4,1.2,1.7,0.3,1.0,0.7,0.3,2.0,1,0,1998
Brandon Williams,SG,SAS,23,1.3,0.7,0.0,0.0,0.0,0.0,,0.7,1.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,0,1999
Brandon Williams,SF,ATL,27,3.2,0.3,0.2,1.2,0.0,0.2,,0.0,0.0,0.3,0.0,0.3,0.0,0.5,0.3,0.0,0.7,0,0,2003
Brendan Haywood,C,WAS,22,20.4,5.1,1.8,3.6,0.0,0.0,,1.6,2.6,2.3,2.9,5.2,0.5,0.8,0.3,1.5,2.5,1,1,2002
Brendan Haywood,C,WAS,23,23.8,6.2,2.1,4.2,0.0,0.0,,1.9,3.0,2.4,2.6,5.0,0.4,0.8,0.4,1.5,2.8,1,1,2003
Brendan Haywood,C,WAS,24,19.3,7.0,2.6,5.0,0.0,0.0,,1.8,3.0,2.4,2.6,5.0,0.6,1.0,0.4,1.3,2.0,1,1,2004
Brendan Haywood,C,WAS,25,27.4,9.4,3.5,6.3,0.0,0.0,,2.3,3.8,3.0,3.9,6.8,0.8,1.4,0.8,1.7,3.2,1,1,2005
Brendan Haywood,C,WAS,26,23.8,7.3,2.8,5.5,0.0,0.0,,1.7,2.8,2.5,3.4,5.9,0.6,1.2,0.4,1.3,2.9,1,1,2006
Brendan Haywood,C,WAS,27,22.6,6.6,2.6,4.6,0.0,0.0,,1.5,2.7,2.5,3.7,6.2,0.6,1.2,0.4,1.1,2.7,1,1,2007
Brendan Haywood,C,WAS,28,27.9,10.6,4.0,7.5,0.0,0.0,,2.7,3.7,3.4,3.8,7.2,0.9,1.4,0.4,1.7,2.7,1,1,2008
Brendan Haywood,C,WAS,29,29.2,9.7,4.0,8.3,0.0,0.0,,1.7,3.5,2.2,5.2,7.3,1.3,1.5,0.7,2.5,2.3,1,1,2009
Brendan Haywood,C,TOT,30,90.0,27.0,10.5,18.8,0.0,0.0,,5.9,9.5,10.5,16.6,27.0,1.9,3.8,1.0,6.2,8.0,3,3,2010
Brendan Haywood,C,DAL,31,18.5,4.4,1.8,3.1,0.0,0.0,,0.9,2.5,1.8,3.4,5.2,0.3,0.7,0.2,1.0,2.0,1,1,2011
Brendan Haywood,C,DAL,32,21.2,5.2,2.2,4.2,0.0,0.0,,0.8,1.8,2.6,3.4,6.0,0.4,0.9,0.4,1.0,2.2,1,1,2012
Brendan Haywood,C,CHA,33,19.0,3.5,1.5,3.5,0.0,0.0,,0.5,1.1,2.0,2.7,4.8,0.5,0.8,0.3,0.8,2.0,1,1,2013
Brendan Haywood,C,CLE,35,5.4,1.6,0.6,1.4,0.0,0.0,,0.3,0.6,0.3,1.0,1.3,0.1,0.5,0.1,0.5,0.8,1,1,2015
Brent Barry,SG,LAC,24,24.0,10.1,3.6,7.6,1.6,3.7,,1.4,1.7,0.5,1.6,2.1,2.9,1.5,1.2,0.3,2.5,1,1,1996
Brent Barry,SG,LAC,25,18.5,7.5,2.6,6.4,0.9,2.9,,1.3,1.6,0.5,1.4,1.9,2.6,1.3,0.9,0.3,1.5,1,1,1997
